Total_Frames,P1_Combo_Meter_Value,P2_Combo_Meter_Value,P1_Input_DEC,P2_Input_DEC,P1_Input_T3,P2_Input_T3
1068410,0,0,0,0, , 
1068411,0,0,0,0, , 
1068412,0,0,0,0, , 
1068413,0,0,0,0, , 
1068414,0,0,0,0, , 
1068415,0,0,0,0, , 
1068416,0,0,0,0, , 
1068417,0,0,0,0, , 
1068418,0,0,0,0, , 
1068419,0,0,0,0, , 
1068420,0,0,0,0, , 
1068421,0,0,0,0, , 
1068422,0,0,0,0, , 
1068423,0,0,0,0, , 
1068424,0,0,0,0, , 
1068425,0,0,0,0, , 
1068426,0,0,0,0, , 
1068427,0,0,0,0, , 
1068428,0,0,0,0, , 
1068429,0,0,0,0, , 
1068430,0,0,0,0, , 
1068431,0,0,0,0, , 
1068432,0,0,0,0, , 
1068433,0,0,0,0, , 
1068434,0,0,0,0, , 
1068435,0,0,0,0, , 
1068436,0,0,0,0, , 
1068437,0,0,0,0, , 
1068438,0,0,0,0, , 
1068439,0,0,0,0, , 
1068440,0,0,0,0, , 
1068441,0,0,0,0, , 
1068442,0,0,0,0, , 
1068443,0,0,0,0, , 
1068444,0,0,0,0, , 
1068445,0,0,0,0, , 
1068446,0,0,0,0, , 
1068447,0,0,0,0, , 
1068448,0,0,0,0, , 
1068449,0,0,0,0, , 
1068450,0,0,0,0, , 
1068451,0,0,0,0, , 
1068452,0,0,0,0, , 
1068453,0,0,0,0, , 
1068454,0,0,0,0, , 
1068455,0,0,0,0, , 
1068456,0,0,0,0, , 
1068457,0,0,0,0, , 
1068458,0,0,0,0, , 
1068459,0,0,0,0, , 
1068460,0,0,0,0, , 
1068461,0,0,0,0, , 
1068462,0,0,0,0, , 
1068463,0,0,0,0, , 
1068464,0,0,0,0, , 
1068465,0,0,0,0, , 
1068466,0,0,0,0, , 
1068467,0,0,0,0, , 
1068468,0,0,0,0, , 
1068469,0,0,0,0, , 
1068470,0,0,0,0, , 
1068471,0,0,0,0, , 
1068472,0,0,0,0, , 
1068473,0,0,0,0, , 
1068474,0,0,0,0, , 
1068475,0,0,0,0, , 
1068476,0,0,0,0, , 
1068477,0,0,0,0, , 
1068478,0,0,0,0, , 
1068479,0,0,0,0, , 
1068480,0,0,0,0, , 
1068481,0,0,0,0, , 
1068482,0,0,0,0, , 
1068483,0,0,0,0, , 
1068484,0,0,0,0, , 
1068485,0,0,0,0, , 
1068486,0,0,0,0, , 
1068487,0,0,0,0, , 
1068488,0,0,0,0, , 
1068489,0,0,0,0, , 
1068490,0,0,0,0, , 
1068491,0,0,0,0, , 
1068492,0,0,0,0, , 
1068493,0,0,0,0, , 
1068494,0,0,0,0, , 
1068495,0,0,0,0, , 
1068496,0,0,0,0, , 
1068497,0,0,0,0, , 
1068498,0,0,0,0, , 
1068499,0,0,0,0, , 
1068500,0,0,0,0, , 
1068501,0,0,0,0, , 
1068502,0,0,0,0, , 
1068503,0,0,0,0, , 
1068504,0,0,0,0, , 
1068505,0,0,0,0, , 
1068506,0,0,0,0, , 
1068507,0,0,0,0, , 
1068508,0,0,0,0, , 
1068509,0,0,0,0, , 
1068510,0,0,0,0, , 
1068511,0,0,0,0, , 
1068512,0,0,0,0, , 
1068513,0,0,8192,0,8, 
1068514,0,0,8192,0,8, 
1068515,0,0,8192,0,8, 
1068516,0,0,8192,0,8, 
1068517,0,0,8192,0,8, 
1068518,0,0,8192,0,8, 
1068519,0,0,8192,0,8, 
1068520,0,0,8192,0,8, 
1068521,0,0,0,0, , 
1068522,0,0,0,0, , 
1068523,0,0,0,0, , 
1068524,0,0,0,4096, ,2
1068525,0,0,0,6144, ,1
1068526,0,0,0,2048, ,4
1068527,0,0,0,2144, ,4jk
1068528,0,0,0,0, , 
1068529,0,0,0,0, , 
1068530,0,0,0,0, , 
1068531,0,0,0,0, , 
1068532,0,0,0,0, , 
1068533,0,0,0,0, , 
1068534,0,0,0,0, , 
1068535,0,0,32,0,k, 
1068536,0,0,32,0,k, 
1068537,0,0,32,0,k, 
1068538,0,0,0,0, , 
1068539,0,0,0,0, , 
1068540,0,0,0,0, , 
1068541,0,0,0,0, , 
1068542,0,0,0,0, , 
1068543,1,0,0,0, , 
1068544,1,0,0,0, , 
1068545,1,0,0,0, , 
1068546,1,0,0,0, , 
1068547,1,0,0,0, , 
1068548,1,0,0,0, , 
1068549,1,0,0,0, , 
1068550,1,0,0,0, , 
1068551,1,0,0,0, , 
1068552,1,0,0,0, , 
1068553,1,0,0,0, , 
1068554,1,0,0,0, , 
1068555,1,0,768,0,ui, 
1068556,1,0,0,0, , 
1068557,1,0,0,0, , 
1068558,1,0,0,0, , 
1068559,1,0,0,0, , 
1068560,1,0,0,0, , 
1068561,1,0,0,0, , 
1068562,1,0,0,0, , 
1068563,1,0,0,0, , 
1068564,1,0,0,0, , 
1068565,1,0,0,0, , 
1068566,1,0,0,0, , 
1068567,1,0,512,0,u, 
1068568,2,0,512,0,u, 
1068569,2,0,512,0,u, 
1068570,2,0,4096,0,2, 
1068571,2,0,4096,0,2, 
1068572,2,0,4096,0,2, 
1068573,2,0,4608,0,2u, 
1068574,2,0,4608,0,2u, 
1068575,2,0,4608,0,2u, 
1068576,2,0,4608,0,2u, 
1068577,2,0,4608,0,2u, 
1068578,2,0,0,0, , 
1068579,2,0,0,0, , 
1068580,2,0,0,0, , 
1068581,2,0,0,0, , 
1068582,3,0,0,0, , 
1068583,3,0,0,0, , 
1068584,3,0,0,0, , 
1068585,3,0,0,0, , 
1068586,3,0,0,0, , 
1068587,3,0,0,0, , 
1068588,3,0,0,0, , 
1068589,3,0,0,0, , 
1068590,3,0,0,0, , 
1068591,3,0,0,0, , 
1068592,4,0,0,0, , 
1068593,4,0,0,0, , 
1068594,4,0,0,0, , 
1068595,4,0,0,0, , 
1068596,4,0,0,0, , 
1068597,4,0,0,0, , 
1068598,4,0,0,0, , 
1068599,4,0,0,2048, ,4
1068600,4,0,4096,1088,2,6j
1068601,4,0,10240,2048,7,4
1068602,4,0,4096,1056,2,6k
1068603,4,0,10240,2048,7,4
1068604,4,0,0,1088, ,6j
1068605,4,0,64,2048,j,4
1068606,4,0,0,1088, ,6j
1068607,5,0,0,2048, ,4
