Description,Address,Value,Type
Demul_Values,,,Byte
Demul_Current_Save_State,demul.exe+DCB980,0,Byte
Demul_Pause State On/Off,demul.exe+D9B536,0,Byte
Demul_Sound,spuDemul.dll+D34F4,??,Byte
Demul_SoundOn/SoundOff,,,Pointer
Demul_Pause/Unpause,,,Pointer
LY,,,Byte
Base Addresses,,,Byte
demul.exe,demul.exe,,Byte
padDemul.dll,padDemul.dll,,Byte
ROM Base Address,2C000000,,Byte
P1C1,2C268340,,Byte
P1C2,2C268E88,,Byte
P1C3,2C2699D0,,Byte
P2C1,2C2688E4,,Byte
P2C2,2C26942C,,Byte
P2C3,2C269F74,,Byte
First Projectile/Effect,2C2723C4,,Byte
Last Projectile/Effect,2C287884,,Byte
DINPUT8.dll,DINPUT8.dll,,Byte
Emulator,,,Byte
Emulation Pause,demul.exe+D9B536,0,Byte
Game,,,Byte
Frame Counters,,,Byte
Scene Frame Counter,2C1F9D80,??,4 Byte
Total Frame Counter,2C3496B0,??,4 Byte
Frame Skip,,,Byte
Frame Skip Reset Target,2C289620,??,Byte
Frame Skip Timer,2C289621,??,Byte
Hitbox Objects Lists,,,Byte
Hitbox Object List P1,2C287AEC,??,4 Byte
Hitbox Object List P2,2C287C64,??,4 Byte
Hitbox Object Count P1,2C287DDE,??,Byte
Hitbox Object Count P2,2C287DDF,??,Byte
Hyper Gauge,,,Byte
Hyper Gauge Bar P1,2C289646,??,2 Byte
Hyper Gauge Bar P2,2C289648,??,2 Byte
Hyper Gauge Count P1,2C28964A,??,Byte
Hyper Gauge Count P2,2C28964B,??,Byte
Miscellaneous,,,Byte
Contoroller/Pause Menu,2C212CA2,??,Byte
Game Active,2C2433C8,??,Byte
First Attack Indicator,2C2895F2,??,Byte
Match Start Frame Counter,2C289600,??,2 Byte
Attacking Hitboxes Created Counter P1,2C28966C,??,2 Byte
Attacking Hitboxes Created Counter P2,2C28966E,??,2 Byte
Successful Hits Counter P1,2C289670,??,2 Byte
Successful Hits Counter P2,2C289672,??,2 Byte
Player Inputs,,,Byte
Input Flags A P1,2C2681DC,??,Byte
Input Flags B P1,2C2681DD,??,Byte
X Button Map P1,2C212C1C,??,Byte
Y Button Map P1,2C212C1E,??,Byte
A Button Map P1,2C212C20,??,Byte
B Button Map P1,2C212C22,??,Byte
L Button Map P1,2C212C24,??,Byte
R Button Map P1,2C212C26,??,Byte
Input Flags A P2,2C2681F0,??,Byte
Input Flags B P2,2C2681F1,??,Byte
X Button Map P2,2C212C28,??,Byte
Y Button Map P2,2C212C2A,??,Byte
A Button Map P2,2C212C2C,??,Byte
B Button Map P2,2C212C2E,??,Byte
L Button Map P2,2C212C30,??,Byte
R Button Map P2,2C212C32,??,Byte
Stage,,,Byte
Screen Arena Position X,2C1F9CD8,??,Float
Screen Arena Position Y,2C1F9CDC,??,Float
Final Level Shift Trigger,2C26A8C8,??,Byte
Game Timer,2C289630,??,Byte
Game Timer Timer,2C289631,??,Byte
Stage ID,2C289638,??,Byte
P1_A,,,Byte
Animation,,,Byte
Receiving Damage Animation State,2C268345,??,Byte
Special Move Animation State,2C268346,??,Byte
Is Facing Right,2C268450,??,Byte
